interveningOpponents,interveningTeammates,minute,second,label,angle,distance,bodyPart_سایر,bodyPart_سر,bodyPart_پا,playType_جریان بازی,playType_ضربه آزاد مستقیم,playType_مستقیم از کرنر,playType_پنالتی,interferenceOnShooter_زیاد,interferenceOnShooter_متوسط,interferenceOnShooter_کم
3,0,59,45,0,15.129831915890414,23.526652970620365,0,0,1,1,0,0,0,0,0,1
2,0,64,6,0,11.854431462402331,12.698759781962961,0,0,1,1,0,0,0,0,1,0
3,1,56,48,0,15.678468228082986,26.38965138079698,0,0,1,1,0,0,0,0,1,0
3,0,51,49,1,12.600824114103846,28.52538693865519,0,0,1,1,0,0,0,0,0,1
1,0,21,54,0,42.16176305260619,7.9898498108537686,0,0,1,1,0,0,0,0,0,1
1,0,78,5,0,16.382675169997064,21.16914027541034,0,0,1,1,0,0,0,0,0,1
1,0,27,6,0,9.284431227386145,37.83488998266019,0,0,1,1,0,0,0,0,0,1
4,0,63,49,0,14.899314577913643,27.212778248462616,0,0,1,1,0,0,0,1,0,0
1,0,16,42,0,30.339821009011587,9.87754017961962,0,1,0,1,0,0,0,0,0,1
5,1,41,11,0,14.889469142299218,27.970250267024785,0,0,1,1,0,0,0,0,1,0
3,1,77,1,0,10.589736346386712,21.04524886999439,0,0,1,1,0,0,0,0,0,1
1,0,66,59,0,43.080423427438085,8.70979333853565,0,0,1,1,0,0,0,0,0,1
2,0,13,33,0,25.760828048390604,15.010029979983386,0,0,1,1,0,0,0,0,0,1
5,2,91,2,0,36.94530768670058,10.039945218974056,0,1,0,1,0,0,0,0,0,1
2,0,33,57,0,13.044613209159493,13.955142421344183,0,0,1,1,0,0,0,0,0,1
3,0,58,2,1,33.853634576924684,10.934943987053614,0,0,1,1,0,0,0,0,1,0
2,0,41,45,0,16.120883751530762,25.645490831723226,0,0,1,1,0,0,0,0,0,1
2,0,49,43,0,35.90269306090665,10.808931492057853,0,0,1,1,0,0,0,0,1,0
1,0,27,10,0,24.561257536589295,15.39971752987697,0,0,1,1,0,0,0,0,0,1
2,0,80,3,0,29.934054210482127,12.491136857788407,0,0,1,1,0,0,0,0,1,0
1,0,71,25,0,26.37609484937064,12.822082514162823,0,0,1,1,0,0,0,1,0,0
2,0,27,59,1,36.915954175587096,8.47113923861484,0,1,0,1,0,0,0,0,1,0
6,2,89,45,0,7.113270564838802,22.601170323680144,0,0,1,0,1,0,0,0,0,1
3,0,60,13,0,14.33296521895501,15.785239941160224,0,0,1,1,0,0,0,0,1,0
2,0,34,23,0,26.63995827511398,15.340928915812107,0,0,1,1,0,0,0,0,0,1
1,0,54,31,1,36.90123249850194,10.97,0,0,1,0,0,0,1,0,0,1
4,1,18,32,0,21.31523997340934,15.425751197267509,0,0,1,1,0,0,0,0,1,0
1,0,48,42,1,42.13040646127844,8.598139333600033,0,0,1,1,0,0,0,0,0,1
4,0,45,59,0,32.934497754212785,8.685217326008601,0,1,0,1,0,0,0,1,0,0
1,0,14,28,1,34.9985995682168,10.102004751533233,0,0,1,1,0,0,0,0,0,1
2,0,74,56,0,18.167400797347646,21.5404363929796,0,0,1,1,0,0,0,1,0,0
4,1,16,39,0,18.073644691644898,22.85483975003982,0,0,1,1,0,0,0,0,1,0
2,0,17,40,0,25.184931209530387,15.692966577419327,0,0,1,1,0,0,0,0,1,0
2,0,63,17,0,30.01207025435633,13.092784272262337,0,0,1,1,0,0,0,0,0,1
2,0,53,36,1,18.950134459110032,21.57220665578744,0,0,1,1,0,0,0,1,0,0
1,0,30,40,1,57.36883897067358,6.160779171500956,0,0,1,1,0,0,0,0,0,1
2,0,56,43,0,30.79395559090219,13.257767534543666,0,1,0,1,0,0,0,1,0,0
1,0,2,59,0,18.658357607132018,18.957175422514823,0,0,1,1,0,0,0,0,0,1
1,0,70,30,0,17.17079908225062,21.638863186406073,0,0,1,1,0,0,0,0,1,0
3,1,13,10,0,39.56649394540393,9.86802918520208,0,1,0,1,0,0,0,1,0,0
2,0,19,45,0,21.93716725979916,14.118278931937844,0,0,1,1,0,0,0,0,0,1
2,0,55,22,0,53.66882423489845,7.139355713227911,0,1,0,1,0,0,0,0,1,0
1,0,73,6,1,42.69599967116271,9.200021739104752,0,0,1,1,0,0,0,0,0,1
1,0,50,48,0,31.66246207692943,12.228593541368525,1,0,0,1,0,0,0,0,0,1
1,0,61,17,0,16.4633362873161,12.718824631230671,0,0,1,1,0,0,0,0,1,0
3,0,56,59,0,18.786589600714834,18.747186455572475,0,0,1,1,0,0,0,0,1,0
3,0,67,56,0,21.231235039435656,19.490125705084612,0,0,1,1,0,0,0,0,1,0
5,2,59,11,0,12.000001632652209,31.22892569397801,0,0,1,0,1,0,0,0,0,1
1,0,85,19,1,36.90123249850194,10.97,0,0,1,0,0,0,1,0,0,1
2,0,35,52,0,71.10199215204534,5.089214084708955,1,0,0,1,0,0,0,0,1,0
2,0,24,34,0,36.96471563772493,10.15728802387724,0,0,1,1,0,0,0,1,0,0
3,0,69,51,0,16.84548784884131,24.20983684372945,0,0,1,1,0,0,0,1,0,0
1,0,57,28,0,38.27303771123099,9.595337409387959,0,1,0,1,0,0,0,0,0,1
3,0,87,59,1,38.37357114051,10.496828092333418,0,0,1,1,0,0,0,0,0,1
2,1,55,42,0,26.41079888794126,15.532597979732818,0,0,1,1,0,0,0,0,0,1
2,0,39,32,0,36.98695936628561,9.278496645470106,0,0,1,1,0,0,0,0,1,0
3,0,50,53,0,16.993345374104422,21.338249693918197,0,0,1,1,0,0,0,0,1,0
2,0,67,9,1,69.36567690681541,5.210575783922541,0,1,0,1,0,0,0,0,0,1
3,0,82,49,0,45.96168350704217,8.359455723909303,0,1,0,1,0,0,0,0,1,0
4,1,76,59,0,15.448359606109838,25.052874086619283,0,0,1,1,0,0,0,0,1,0
3,0,36,0,0,21.55405815743162,19.214642853823747,0,0,1,1,0,0,0,0,1,0
2,0,76,2,0,29.453478750438823,12.603015512170094,0,0,1,1,0,0,0,0,1,0
2,0,58,13,1,17.573561985639778,18.0200388456851,0,0,1,1,0,0,0,0,1,0
2,0,53,28,0,54.67784893369777,6.8562380355410655,1,0,0,1,0,0,0,0,1,0
3,1,83,0,0,23.16359953601877,17.42302212591145,0,0,1,1,0,0,0,0,1,0
2,0,63,53,0,10.41426313587898,18.73858319083916,0,0,1,1,0,0,0,0,1,0
1,0,81,24,1,36.90123249850194,10.97,0,0,1,0,0,0,1,0,0,1
2,0,45,49,0,30.18170202285801,13.408430184029747,0,1,0,1,0,0,0,1,0,0
1,0,7,48,1,36.90123249850194,10.97,0,0,1,0,0,0,1,0,0,1
2,0,20,41,0,18.700526284781578,17.762370337317034,0,0,1,1,0,0,0,0,0,1
4,0,90,13,0,13.437004817611697,30.12345929670097,0,0,1,1,0,0,0,0,0,1
4,1,71,15,0,17.678886492113257,23.24287417683106,0,0,1,1,0,0,0,0,0,1
4,0,40,55,0,16.493006050662913,19.258504614844842,0,0,1,1,0,0,0,1,0,0
2,1,5,36,0,7.971334690319259,11.981590044731126,0,1,0,1,0,0,0,0,0,1
2,0,91,41,0,31.580327239969627,12.839816976888729,0,0,1,1,0,0,0,0,1,0
2,0,33,57,0,20.646972550289238,15.369248517738269,0,0,1,1,0,0,0,1,0,0
7,2,38,6,1,13.762367818485945,24.38619691546839,0,0,1,0,1,0,0,0,0,1
1,0,17,50,0,42.37852532298125,9.35109084545755,0,0,1,1,0,0,0,0,1,0
3,0,5,6,0,16.246498944356333,24.920597906149844,0,0,1,1,0,0,0,0,0,1
1,0,53,14,0,22.037811104359616,13.760297961890215,0,0,1,1,0,0,0,0,1,0
1,0,71,41,0,109.99718901979207,2.6004999519323206,0,1,0,1,0,0,0,0,1,0
3,2,65,20,0,15.334733090928822,26.31513822878383,0,0,1,1,0,0,0,0,0,1
3,0,12,7,0,16.52941807388757,22.75528290309747,0,0,1,1,0,0,0,0,1,0
3,0,48,34,0,14.316357161381601,13.609132962830513,0,0,1,1,0,0,0,0,1,0
2,0,23,13,0,12.110363765496217,21.350936747599626,0,0,1,1,0,0,0,0,1,0
2,0,47,50,0,18.46695048375483,17.723622654525233,0,0,1,1,0,0,0,0,1,0
4,0,90,9,0,16.29604592783959,22.647757063338524,0,0,1,1,0,0,0,0,0,1
1,0,7,31,0,39.61207010341655,7.287503001714648,0,0,1,1,0,0,0,0,0,1
3,0,64,0,0,13.644868980602258,25.250378214989176,0,0,1,1,0,0,0,0,1,0
1,0,10,22,0,22.090088761534776,14.688730373997611,0,0,1,1,0,0,0,0,0,1
2,0,41,33,0,53.92000101895741,7.020890256940355,0,0,1,1,0,0,0,1,0,0
3,0,3,35,0,27.137701767879964,11.285424227737298,0,0,1,1,0,0,0,0,1,0
3,0,63,12,0,34.67226590568487,11.722666079011208,0,1,0,1,0,0,0,0,0,1
1,0,63,9,0,14.366617953459976,23.104382701124045,0,0,1,1,0,0,0,0,1,0
2,0,14,4,0,5.972650469367738,12.382584544431749,0,0,1,1,0,0,0,1,0,0
3,0,8,37,0,13.8877806566704,25.7535123818092,0,0,1,1,0,0,0,0,1,0
3,0,82,7,0,12.994909605585926,26.036783595521165,0,0,1,1,0,0,0,1,0,0
2,0,80,13,0,33.33476966844675,12.22255701561666,0,0,1,1,0,0,0,0,1,0
2,0,12,19,0,19.844878130217214,17.372645164165416,0,0,1,1,0,0,0,1,0,0
2,0,13,30,0,15.506183057687691,26.659426100349574,0,0,1,1,0,0,0,0,1,0
5,3,44,26,0,14.018828328267691,26.330153816489567,0,0,1,1,0,0,0,0,0,1
5,2,51,23,0,13.994442278971025,28.231459402588452,0,0,1,1,0,0,0,0,0,1
1,0,24,57,0,43.723118689167755,8.956165474130097,0,1,0,1,0,0,0,0,1,0
2,0,61,45,0,55.504438647107314,6.781622224807277,1,0,0,1,0,0,0,0,1,0
3,0,8,24,0,15.21864729889104,25.37925333811064,0,0,1,1,0,0,0,0,1,0
3,0,5,41,0,10.835986277199405,33.3194237645251,0,0,1,1,0,0,0,0,1,0
2,0,48,23,0,22.54580523667365,18.16780669205835,0,0,1,1,0,0,0,0,0,1
3,0,11,10,0,12.60717090453061,19.509228585466932,0,0,1,1,0,0,0,0,1,0
2,0,12,41,0,12.742915155945145,30.289326502911877,0,0,1,1,0,0,0,0,1,0
3,0,56,1,0,39.6921204473526,8.529390365084717,0,1,0,1,0,0,0,0,1,0
1,0,26,16,1,19.949755169611695,14.98463546436816,0,0,1,1,0,0,0,0,0,1
1,0,42,32,1,27.58235627771356,14.461967362706917,0,1,0,1,0,0,0,0,0,1
4,1,84,54,0,16.78270451891795,24.75194133800418,0,0,1,1,0,0,0,0,0,1
2,0,14,30,0,19.120431038227593,21.59404084464045,0,0,1,1,0,0,0,1,0,0
2,0,58,4,0,38.34174336366351,9.705179029775804,0,1,0,1,0,0,0,1,0,0
4,1,51,25,0,8.84459087818812,20.305489405577006,0,0,1,1,0,0,0,0,1,0
1,0,6,36,0,47.14188202334197,8.324385863233395,0,0,1,1,0,0,0,0,1,0
7,2,19,40,0,15.276918354687878,27.236279114445864,0,0,1,0,1,0,0,0,0,1
2,0,47,43,0,32.60219265931267,11.908337415441334,0,1,0,1,0,0,0,0,1,0
2,0,39,42,0,32.061447222959785,12.72982325093322,0,1,0,1,0,0,0,1,0,0
1,0,75,51,1,36.90123249850194,10.97,0,0,1,0,0,0,1,0,0,1
2,0,23,15,0,52.06004699088167,6.359654078642957,0,0,1,1,0,0,0,1,0,0
2,1,13,35,0,22.58524739020902,18.271674800083325,0,0,1,1,0,0,0,0,1,0
2,0,44,50,0,13.365910529044633,12.317507864823956,0,0,1,1,0,0,0,1,0,0
2,0,43,54,0,14.120415936332328,16.129128928742556,0,0,1,1,0,0,0,0,0,1
1,0,32,48,1,55.15176939404593,6.997885394888945,0,0,1,1,0,0,0,0,0,1
2,0,64,20,0,14.097970007771565,24.834016992826594,0,0,1,1,0,0,0,0,0,1
1,0,89,48,0,2.524388757337097,11.743972922312109,0,0,1,1,0,0,0,0,0,1
2,0,78,15,0,43.11762880255583,8.47764707923136,0,1,0,1,0,0,0,1,0,0
2,0,39,52,0,13.585368126992664,25.45572823550723,0,0,1,1,0,0,0,0,0,1
2,0,15,13,0,46.56848249968747,8.494727776685961,0,0,1,1,0,0,0,0,1,0
7,1,33,5,0,13.734522350002253,29.024046926643432,0,0,1,0,1,0,0,0,0,1
1,0,42,35,1,33.8651584565116,11.295950601874994,0,0,1,1,0,0,0,0,0,1
2,0,22,35,1,20.06259506057039,20.20519982578742,0,0,1,1,0,0,0,0,1,0
4,1,34,52,0,16.654353913196072,24.603174591909884,0,0,1,0,1,0,0,0,0,1
3,2,41,29,0,20.644480607173474,19.533819390994687,0,0,1,1,0,0,0,0,0,1
2,0,63,40,0,33.68030010944664,7.743900825811241,0,0,1,1,0,0,0,0,0,1
3,0,0,52,0,15.99687180824052,24.60709247351259,0,0,1,1,0,0,0,0,0,1
3,1,16,56,0,14.975412821988552,25.321176907876932,0,0,1,1,0,0,0,0,0,1
1,0,29,24,0,36.90123249850194,10.97,0,0,1,0,0,0,1,0,0,1
1,0,50,39,0,18.559137664018724,16.398759099395296,0,0,1,1,0,0,0,0,0,1
1,0,47,6,1,61.82634174762854,6.072898813581534,0,1,0,1,0,0,0,0,1,0
6,2,17,46,0,27.575937240323434,14.584443767247349,0,0,1,1,0,0,0,0,1,0
3,1,84,37,0,16.110901789771823,21.791856277059097,0,0,1,1,0,0,0,0,1,0
1,0,55,31,0,28.9546110144457,14.07918321494539,0,0,1,1,0,0,0,0,1,0
2,0,1,36,1,77.43254666851516,4.552208255341577,0,0,1,1,0,0,0,0,0,1
2,0,6,0,0,27.430109792955978,12.272868450366444,0,0,1,1,0,0,0,0,1,0
6,2,69,59,0,9.167311692972122,31.406147487394882,0,0,1,1,0,0,0,0,0,1
2,0,82,47,0,15.685512802471267,7.681985420449586,0,0,1,1,0,0,0,0,0,1
4,1,58,42,0,26.631621015664944,15.462021213282565,0,0,1,1,0,0,0,0,1,0
3,0,4,24,0,14.08516358219087,25.711104604820072,0,0,1,1,0,0,0,0,0,1
3,0,83,18,0,17.17334803418904,23.720796782570353,0,0,1,1,0,0,0,0,1,0
2,0,44,34,0,26.37609484937064,12.822082514162823,0,0,1,1,0,0,0,0,1,0
2,0,16,18,0,26.82174938748099,14.183388170673467,0,0,1,1,0,0,0,1,0,0
6,1,43,26,0,14.482410256511411,24.63987418799049,0,0,1,0,1,0,0,0,0,1
2,0,50,44,0,16.17299658766129,25.10500348536124,0,0,1,1,0,0,0,1,0,0
2,0,84,44,0,38.81824388326161,9.867775838556529,0,1,0,1,0,0,0,0,1,0
2,0,21,52,0,18.448017198259816,22.490077812226442,0,0,1,1,0,0,0,0,1,0
2,0,65,9,0,12.022291538409858,23.15589989613878,0,0,1,1,0,0,0,0,1,0
2,0,79,53,0,14.335047024045705,14.849033638590763,0,0,1,1,0,0,0,1,0,0
2,0,66,15,0,15.243474725634915,10.980573755501121,0,0,1,1,0,0,0,0,1,0
5,3,12,12,0,12.903072294269071,31.896026398283535,0,0,1,1,0,0,0,0,0,1
3,0,75,39,0,18.516748011352064,18.150275480003053,0,0,1,1,0,0,0,1,0,0
1,0,65,36,0,127.33393382213498,1.9039432764659772,0,0,1,1,0,0,0,0,1,0
2,0,29,40,0,24.45940463536729,15.171067859580619,0,0,1,1,0,0,0,1,0,0
1,0,77,30,0,27.430109792955978,12.272868450366444,0,0,1,1,0,0,0,0,1,0
5,2,58,55,0,15.390488554788027,26.139175579960437,0,0,1,1,0,0,0,0,0,1
3,0,10,53,0,29.261615337695613,11.143756099269224,0,1,0,1,0,0,0,1,0,0
3,0,42,33,0,24.334455628376542,13.072329555209356,0,0,1,1,0,0,0,0,1,0
2,0,57,55,0,11.997892224016988,27.738855419789765,0,0,1,1,0,0,0,0,1,0
1,0,5,1,0,29.470048208289995,10.954715879474008,0,0,1,1,0,0,0,0,0,1
1,0,62,42,0,21.24498065192624,14.830418065583991,0,0,1,1,0,0,0,0,0,1
3,0,19,6,0,12.774979754753346,18.538190310815132,0,0,1,1,0,0,0,0,1,0
1,0,35,43,1,35.90269306090665,10.808931492057853,0,0,1,1,0,0,0,0,1,0
2,0,20,48,0,19.585478054053866,20.83560894238515,0,0,1,1,0,0,0,0,1,0
2,0,89,51,0,13.09244962418777,20.724140512938046,0,0,1,1,0,0,0,0,1,0
4,0,41,7,0,12.66112380343632,31.312981333625835,0,0,1,1,0,0,0,0,0,1
1,0,47,53,0,48.31679213574808,7.883558841031125,0,1,0,1,0,0,0,0,0,1
2,0,32,16,1,15.143585934769701,24.2239220606408,0,0,1,1,0,0,0,0,0,1
2,0,12,40,0,14.669647981447648,26.26421519863101,0,0,1,1,0,0,0,0,1,0
2,0,86,46,0,14.809561325880338,23.046277356657843,0,0,1,1,0,0,0,0,0,1
3,1,3,46,1,16.01385841130677,23.539177980549788,0,0,1,1,0,0,0,0,0,1
2,0,68,23,0,12.675994089860446,25.899886100135653,0,0,1,1,0,0,0,0,1,0
2,0,24,6,0,14.930290346701637,27.435059686466875,0,0,1,1,0,0,0,0,1,0
3,0,3,21,0,50.44846625972853,7.149664327784907,0,0,1,1,0,0,0,0,1,0
2,0,36,21,0,11.717762392643516,17.17627724508428,0,0,1,1,0,0,0,0,0,1
1,0,63,30,0,30.609977740651242,12.9491698575623,0,0,1,1,0,0,0,0,1,0
3,0,72,57,0,24.95641617522826,15.770279008311807,0,0,1,1,0,0,0,0,1,0
3,0,46,22,0,14.674751103994723,23.453803529491758,0,0,1,1,0,0,0,0,1,0
2,0,19,6,0,15.124921527338199,21.428252378577213,0,0,1,1,0,0,0,0,1,0
3,0,19,30,0,12.79633854984602,26.847981302138898,0,0,1,1,0,0,0,0,0,1
1,0,13,13,0,26.167345499837154,13.01436898201369,0,0,1,1,0,0,0,0,0,1
0,0,45,21,1,87.33966773555166,3.8075714044519247,0,0,1,1,0,0,0,0,1,0
2,0,66,23,0,13.469280316264474,21.693448319711646,0,0,1,1,0,0,0,0,1,0
5,1,66,34,0,13.164429181119589,31.694658856028095,0,0,1,0,1,0,0,0,0,1
4,1,83,21,1,19.406277376312083,20.049012444507085,0,0,1,1,0,0,0,0,1,0
3,1,61,17,0,14.359235100241564,26.68767505797386,0,0,1,1,0,0,0,0,1,0
2,1,92,57,0,12.665952635856911,28.018167320508315,0,0,1,1,0,0,0,0,1,0
5,1,72,40,0,23.843777833242097,17.27524529492997,0,0,1,1,0,0,0,0,0,1
3,0,38,43,0,15.74640185244424,26.448911130706307,0,0,1,1,0,0,0,0,1,0
2,0,72,21,0,18.604205038453053,14.064096131639602,0,0,1,1,0,0,0,0,1,0
1,0,34,21,0,8.944029536099512,34.59229972118072,0,0,1,1,0,0,0,0,1,0
3,0,76,29,0,15.477765985231326,26.931160390892924,0,0,1,1,0,0,0,0,0,1
4,1,2,43,0,15.323964098012127,16.12331541588144,0,0,1,1,0,0,0,0,1,0
1,0,68,47,0,22.910252488372752,15.287537407967315,0,0,1,1,0,0,0,0,0,1
3,0,79,30,0,12.445819681649919,23.118081667820107,0,0,1,1,0,0,0,1,0,0
8,3,28,7,0,15.811825414772777,24.360295564709393,0,0,1,0,1,0,0,0,0,1
1,0,47,57,0,14.9993002555581,14.756313902868833,0,0,1,1,0,0,0,0,1,0
3,2,74,22,0,13.084205316873492,27.416090166177963,0,0,1,1,0,0,0,0,0,1
4,0,70,40,0,13.665655441307461,25.527404881812803,0,0,1,1,0,0,0,0,1,0
2,0,35,13,0,36.232943145819355,10.516320649352606,0,1,0,1,0,0,0,1,0,0
2,0,27,9,0,13.352933781235564,31.219087110292,0,0,1,1,0,0,0,0,0,1
1,0,54,38,1,36.90123249850194,10.97,0,0,1,0,0,0,1,0,0,1
1,0,91,55,0,50.50636001403097,7.24486024709932,0,1,0,1,0,0,0,0,1,0
0,0,9,19,1,88.23836812669657,3.773274440058661,0,0,1,1,0,0,0,0,1,0
2,0,45,4,1,17.553023154553827,21.528943308950396,0,0,1,1,0,0,0,0,1,0
2,1,80,13,0,18.912015740935278,21.962809474199787,0,0,1,1,0,0,0,0,1,0
4,0,51,56,0,11.301005552648189,29.52956484609958,0,0,1,0,1,0,0,0,0,1
8,2,35,11,0,17.120971326571468,22.74143575062929,0,0,1,0,1,0,0,0,0,1
3,0,30,46,0,16.157062445604126,23.431611126851692,0,0,1,1,0,0,0,0,1,0
4,0,61,52,0,17.351261646935356,23.34472531429745,0,0,1,1,0,0,0,0,1,0
1,0,77,2,0,36.996442154624035,5.929392886291143,0,1,0,1,0,0,0,1,0,0
3,0,45,27,0,25.053204221901584,13.317424675964945,0,0,1,1,0,0,0,0,1,0
1,0,16,11,0,55.29362289152349,6.984475642451622,0,1,0,1,0,0,0,0,1,0
2,0,4,1,0,29.809807525770864,11.177356574789945,0,0,1,1,0,0,0,1,0,0
2,0,16,9,0,43.23430905792491,8.911677732054724,0,0,1,1,0,0,0,1,0,0
1,0,86,29,1,36.90123249850194,10.97,0,0,1,0,0,0,1,0,0,1
3,0,70,52,0,14.394455816328065,28.95699224712401,0,0,1,1,0,0,0,0,1,0
5,1,8,56,0,32.763299451867084,12.344670915014301,0,1,0,1,0,0,0,1,0,0
4,0,46,29,0,17.94911157102184,17.667110686244087,0,0,1,1,0,0,0,0,1,0
7,2,81,29,0,20.02887389915996,20.713582500378827,0,0,1,0,1,0,0,0,0,1
5,2,75,15,0,13.497154418686964,24.936000080205325,0,0,1,1,0,0,0,0,1,0
3,2,46,22,0,14.605996141635261,23.65889684664101,0,0,1,1,0,0,0,1,0,0
1,0,84,1,0,18.098711520096938,20.11099201929134,0,0,1,1,0,0,0,0,1,0
2,0,49,13,0,29.680783122577402,8.039931591748775,0,1,0,1,0,0,0,0,1,0
2,0,56,58,0,19.144793475853046,21.70144004438415,0,0,1,1,0,0,0,0,1,0
3,1,73,55,0,16.093283409404215,25.544347711382258,0,0,1,1,0,0,0,0,1,0
3,0,77,48,0,12.580537538792125,30.88856260818881,0,0,1,1,0,0,0,0,1,0
3,0,12,7,0,15.70073266324157,25.234975728143667,0,0,1,1,0,0,0,0,0,1
5,1,70,10,0,11.886805337675145,30.112791302036417,0,0,1,1,0,0,0,0,0,1
